P + 316 -2111774424 
F msvcr80.dll _mbsnbcpy_l 00037e73 
F msvcr80.dll _mbsnbcpy_s 00007a88 
F msvcr80.dll _mbsnbcpy_s_l 00007d59 
F msvcr80.dll _mbsnbicmp 0003819d 
F msvcr80.dll _mbsnbicmp_l 00037f6b 
F msvcr80.dll _mbsnbicoll 00021644 
F msvcr80.dll _mbsnbicoll_l 00021558 
F msvcr80.dll _mbsnbset 00038297 
F msvcr80.dll _mbsnbset_l 000381b4 
F msvcr80.dll _mbsnbset_s 000382ae 
F msvcr80.dll _mbsnbset_s_l 000382c9 
F msvcr80.dll _mbsncat 00038617 
F msvcr80.dll _mbsncat_l 000384f5 
F msvcr80.dll _mbsncat_s 0003862e 
F msvcr80.dll _mbsncat_s_l 00038649 
F msvcr80.dll _mbsnccnt 00038949 
F msvcr80.dll _mbsnccnt_l 000388c0 
F msvcr80.dll _mbsncmp 00038a82 
F msvcr80.dll _mbsncmp_l 0003895c 
F msvcr80.dll _mbsncoll 00038bb2 
F msvcr80.dll _mbsncoll_l 00038a99 
F msvcr80.dll _mbsncpy 00038c9d 
F msvcr80.dll _mbsncpy_l 00038bc9 
F msvcr80.dll _mbsncpy_s 00038cb4 
F msvcr80.dll _mbsncpy_s_l 00038ccf 
F msvcr80.dll _mbsnextc 00038f4e 
F msvcr80.dll _mbsnextc_l 00038ed8 
F msvcr80.dll _mbsnicmp 00039125 
F msvcr80.dll _mbsnicmp_l 00038f5c 
F msvcr80.dll _mbsnicoll 00039255 
F msvcr80.dll _mbsnicoll_l 0003913c 
F msvcr80.dll _mbsninc 0003928f 
F msvcr80.dll _mbsninc_l 0003926c 
F msvcr80.dll _mbsnlen 00039319 
F msvcr80.dll _mbsnlen_l 000392a2 
F msvcr80.dll _mbsnset 00039471 
F msvcr80.dll _mbsnset_l 0003932c 
F msvcr80.dll _mbsnset_s 00039488 
F msvcr80.dll _mbsnset_s_l 000394a3 
F msvcr80.dll _mbspbrk 00007d46 
F msvcr80.dll _mbspbrk_l 00007c7c 
F msvcr80.dll _mbsrchr 0003977c 
F msvcr80.dll _mbsrchr_l 000396bc 
F msvcr80.dll _mbsrev 0003984d 
F msvcr80.dll _mbsrev_l 0003978f 
F msvcr80.dll _mbsset 00039914 
F msvcr80.dll _mbsset_l 0003985b 
F msvcr80.dll _mbsset_s 00039927 
F msvcr80.dll _mbsset_s_l 0003993e 
F msvcr80.dll _mbsspn 00039b5a 
F msvcr80.dll _mbsspn_l 00039a95 
F msvcr80.dll _mbsspnp 00039c40 
F msvcr80.dll _mbsspnp_l 00039b6d 
F msvcr80.dll _mbsstr 00039d92 
F msvcr80.dll _mbsstr_l 00039c53 
F msvcr80.dll _mbstok 00039dc3 
F msvcr80.dll _mbstok_l 00039da5 
F msvcr80.dll _mbstok_s 00039fa3 
F msvcr80.dll _mbstok_s_l 00039dd6 
F msvcr80.dll _mbstowcs_l 0002263d 
F msvcr80.dll _mbstowcs_s_l 0002266a 
F msvcr80.dll _mbstrlen 00022822 
F msvcr80.dll _mbstrlen_l 0002277e 
F msvcr80.dll _mbstrnlen 0002293f 
F msvcr80.dll _mbstrnlen_l 0002283e 
F msvcr80.dll _mbsupr 0003a0f4 
F msvcr80.dll _mbsupr_l 0003a0d0 
F msvcr80.dll _mbsupr_s 0003a0bd 
F msvcr80.dll _mbsupr_s_l 00039fba 
F msvcr80.dll _mbtowc_l 0001c463 
F msvcr80.dll _memccpy 0004e990 
F msvcr80.dll _memicmp 0004eabe 
F msvcr80.dll _memicmp_l 0004e9eb 
F msvcr80.dll _mkdir 00024deb 
F msvcr80.dll _mkgmtime32 0005204a 
F msvcr80.dll _mkgmtime64 00052317 
F msvcr80.dll _mktemp 0003436b 
F msvcr80.dll _mktemp_s 0003425d 
F msvcr80.dll _mktime32 0005203d 
F msvcr80.dll _mktime64 0005230a 
F msvcr80.dll _msize 0001da84 
F msvcr80.dll _nextafter 000597bb 
F msvcr80.dll _onexit 00008a8e 
F msvcr80.dll _open 000349ed 
F msvcr80.dll _open_osfhandle 0001edc0 
F msvcr80.dll _osplatform 000937c0 
F msvcr80.dll _osver 000937c4 
F msvcr80.dll _outp 00034bc0 
F msvcr80.dll _outpd 00034bda 
F msvcr80.dll _outpw 00034bcd 
F msvcr80.dll _pclose 0004701f 
F msvcr80.dll _pctype 00091ac8 
F msvcr80.dll _pgmptr 000937f0 
F msvcr80.dll _pipe 00034be5 
F msvcr80.dll _popen 00046af3 
F msvcr80.dll _printf_l 00012424 
F msvcr80.dll _printf_p 0001247a 
F msvcr80.dll _printf_p_l 00012464 
F msvcr80.dll _printf_s_l 0001243a 
F msvcr80.dll _purecall 0003a629 
F msvcr80.dll _putch 00034f13 
F msvcr80.dll _putch_nolock 00034e9b 
F msvcr80.dll _putenv 0003acd7 
F msvcr80.dll _putenv_s 0003ad1c 
F msvcr80.dll _putw 000470f2 
F msvcr80.dll _putwch 0001e9aa 
F msvcr80.dll _putwch_nolock 0001e84d 
F msvcr80.dll _putws 000471a3 
F msvcr80.dll _pwctype 00091acc 
F msvcr80.dll _read 00035503 
F msvcr80.dll _realloc_crt 000047c7 
F msvcr80.dll _recalloc 00005358 
F msvcr80.dll _recalloc_crt 00004812 
F msvcr80.dll _resetstkoflw 00031715 
F msvcr80.dll _rmdir 00024e17 
F msvcr80.dll _rmtmp 0004728a 
F msvcr80.dll _rotl 0003a7c9 
F msvcr80.dll _rotl64 0003a7d7 
F msvcr80.dll _rotr 0003a80f 
F msvcr80.dll _rotr64 0003a81d 
F msvcr80.dll _safe_fdiv 00058e3c 
F msvcr80.dll _safe_fdivr 00058e51 
F msvcr80.dll _safe_fprem 000593d9 
F msvcr80.dll _safe_fprem1 000593df 
F msvcr80.dll _scalb 000596c2 
F msvcr80.dll _scanf_l 0004734c 
F msvcr80.dll _scanf_s_l 00047380 
F msvcr80.dll _scprintf 000474e1 
F msvcr80.dll _scprintf_l 00047503 
F msvcr80.dll _scprintf_p 000474f2 
F msvcr80.dll _scprintf_p_l 00047519 
F msvcr80.dll _scwprintf 0003de78 
F msvcr80.dll _scwprintf_l 0003de9a 
F msvcr80.dll _scwprintf_p 0003de89 
F msvcr80.dll _scwprintf_p_l 0003deb0 
F msvcr80.dll _searchenv 0003b099 
F msvcr80.dll _searchenv_s 0003ad95 
F msvcr80.dll _seh_longjmp_unwind 0003a60e 
F msvcr80.dll _seh_longjmp_unwind4 0000df96 
F msvcr80.dll _set_SSE2_enable 0005ae3a 
F msvcr80.dll _set_abort_behavior 0000ade2 
F msvcr80.dll _set_amblksiz 000053ca 
F msvcr80.dll _set_controlfp 0001a811 
F msvcr80.dll _set_doserrno 000043d7 
F msvcr80.dll _set_errno 00004392 
F msvcr80.dll _set_error_mode 000010d9 
F msvcr80.dll _set_fmode 00033759 
F msvcr80.dll _set_invalid_parameter_handler 000088cd 
F msvcr80.dll _set_malloc_crt_max_wait 0000472f 
F msvcr80.dll _set_output_format 0001ffd7 
F msvcr80.dll _set_printf_count_output 0001248e 
F msvcr80.dll _set_purecall_handler 0003a653 
F msvcr80.dll _set_sbh_threshold 00006657 
F msvcr80.dll _seterrormode 00023fe6 
F msvcr80.dll _setjmp 0003b0b4 
F msvcr80.dll _setjmp3 0003b0ec 
F msvcr80.dll _setmaxstdio 0004676b 
F msvcr80.dll _setmbcp 000076b6 
F msvcr80.dll _setmode 000337d3 
F msvcr80.dll _setsystime 00051472 
F msvcr80.dll _sleep 00023a06 
F msvcr80.dll _snprintf 0004752f 
F msvcr80.dll _snprintf_c 000475f9 
F msvcr80.dll _snprintf_c_l 000476b9 
F msvcr80.dll _snprintf_l 000475dc 
F msvcr80.dll _snprintf_s 00047469 
F msvcr80.dll _snprintf_s_l 00047488 
F msvcr80.dll _snscanf 00047737 
F msvcr80.dll _snscanf_l 00047758 
F msvcr80.dll _snscanf_s 0004777a 
F msvcr80.dll _snscanf_s_l 0004779b 
F msvcr80.dll _snwprintf 000477bd 
F msvcr80.dll _snwprintf_l 0004786a 
F msvcr80.dll _snwprintf_s 0003dde3 
F msvcr80.dll _snwprintf_s_l 0003de3b 
F msvcr80.dll _snwscanf 000478f0 
F msvcr80.dll _snwscanf_l 00047911 
F msvcr80.dll _snwscanf_s 00047933 
F msvcr80.dll _snwscanf_s_l 00047954 
F msvcr80.dll _sopen 00034b6f 
F msvcr80.dll _sopen_s 00034b9f 
F msvcr80.dll _spawnl 0002ed90 
F msvcr80.dll _spawnle 0002eddd 
F msvcr80.dll _spawnlp 0002ee37 
F msvcr80.dll _spawnlpe 0002ee83 
F msvcr80.dll _spawnv 0002eedd 
F msvcr80.dll _spawnve 0002efa4 
F msvcr80.dll _spawnvp 0002f1c3 
F msvcr80.dll _spawnvpe 0002f1da 
F msvcr80.dll _splitpath 0003b37f 
F msvcr80.dll _splitpath_s 0003b3c9 
F msvcr80.dll _sprintf_l 00047416 
F msvcr80.dll _sprintf_p 000474a8 
F msvcr80.dll _sprintf_p_l 000474c4 
F msvcr80.dll _sprintf_s_l 0004744c 
F msvcr80.dll _sscanf_l 000479fd 
F msvcr80.dll _sscanf_s_l 00047a3d 
F msvcr80.dll _stat32 00024efa 
F msvcr80.dll _stat32i64 0002521f 
F msvcr80.dll _stat64 000255d5 
F msvcr80.dll _stat64i32 00025940 
F msvcr80.dll _statusfp 0001a9ae 
F msvcr80.dll _statusfp2 0001aaaf 
F msvcr80.dll _strcoll_l 0004eb1b 
F msvcr80.dll _strdate 000523ce 
F msvcr80.dll _strdate_s 00052324 
F msvcr80.dll _strdup 000149c8 
F msvcr80.dll _strerror 0003b5ea 
F msvcr80.dll _strerror_s 0003b6d5 
F msvcr80.dll _strftime_l 000189ee 
F msvcr80.dll _stricmp 0001561d 
F msvcr80.dll _stricmp_l 0001554a 
F msvcr80.dll _stricoll 0004ec76 
F msvcr80.dll _stricoll_l 0004ebd2 
F msvcr80.dll _strlwr 0004ee74 
P + 376 -2112651232 
P - 220 0 
F msvcr80.dll _strlwr_l 0004ee5d 
F msvcr80.dll _strlwr_s 0004ee4a 
F msvcr80.dll _strlwr_s_l 0004ee18 
F msvcr80.dll _strncoll 0004efb4 
F msvcr80.dll _strncoll_l 0004eed6 
F msvcr80.dll _strnicmp 000170eb 
F msvcr80.dll _strnicmp_l 00016ffb 
F msvcr80.dll _strnicoll 00021be9 
F msvcr80.dll _strnicoll_l 00021af1 
F msvcr80.dll _strnset 0004f010 
F msvcr80.dll _strnset_s 0004f03b 
F msvcr80.dll _strrev 0004f0c0 
F msvcr80.dll _strset 0004f100 
F msvcr80.dll _strset_s 0004f121 
F msvcr80.dll _strtime 00052487 
F msvcr80.dll _strtime_s 000523e6 
F msvcr80.dll _strtod_l 00022952 
F msvcr80.dll _strtoi64 0001d784 
F msvcr80.dll _strtoi64_l 0001d7ad 
F msvcr80.dll _strtol_l 0001cec1 
F msvcr80.dll _strtoui64 0001d7c8 
F msvcr80.dll _strtoui64_l 0001d7f2 
F msvcr80.dll _strtoul_l 0001cf06 
F msvcr80.dll _strupr 0004f34c 
F msvcr80.dll _strupr_l 0004f335 
F msvcr80.dll _strupr_s 0004f322 
F msvcr80.dll _strupr_s_l 0004f2ef 
F msvcr80.dll _strxfrm_l 0004f3ae 
F msvcr80.dll _swab 00022a80 
F msvcr80.dll _swprintf 0003dd17 
F msvcr80.dll _swprintf_c 00047a5e 
F msvcr80.dll _swprintf_p 0003de02 
F msvcr80.dll _swprintf_p_l 0003de5b 
F msvcr80.dll _swprintf_s_l 0003de1e 
F msvcr80.dll _swscanf_l 00047bd1 
F msvcr80.dll _swscanf_s_l 00047c11 
F msvcr80.dll _sys_errlist 000928a0 
F msvcr80.dll _sys_nerr 00092950 
F msvcr80.dll _tell 00035600 
F msvcr80.dll _telli64 00035611 
F msvcr80.dll _tempnam 00047c32 
F msvcr80.dll _time32 0005249f 
F msvcr80.dll _time64 000524d8 
F msvcr80.dll _timezone 00091df0 
F msvcr80.dll _tolower 0001cfdc 
F msvcr80.dll _tolower_l 0001cfe4 
F msvcr80.dll _toupper 00022ad3 
F msvcr80.dll _toupper_l 00022adb 
F msvcr80.dll _towlower_l 0001cf21 
F msvcr80.dll _towupper_l 00022c1a 
F msvcr80.dll _tzname 00091e80 
F msvcr80.dll _tzset 00019182 
F msvcr80.dll _ui64toa 00022245 
F msvcr80.dll _ui64toa_s 0001c3f0 
F msvcr80.dll _ui64tow 000223ba 
F msvcr80.dll _ui64tow_s 0001b8a3 
F msvcr80.dll _ultoa 0002218f 
F msvcr80.dll _ultoa_s 0001c2af 
F msvcr80.dll _ultow 000222fb 
F msvcr80.dll _ultow_s 0001b75a 
F msvcr80.dll _umask 0003b7d3 
F msvcr80.dll _umask_s 0003b78a 
F msvcr80.dll _ungetc_nolock 00047ec8 
F msvcr80.dll _ungetch 00033bba 
F msvcr80.dll _ungetch_nolock 000338ca 
F msvcr80.dll _ungetwc_nolock 00048058 
F msvcr80.dll _ungetwch 00033f14 
F msvcr80.dll _ungetwch_nolock 00033e6a 
F msvcr80.dll _unlink 00025cb8 
F msvcr80.dll _unloaddll 0002ed79 
F msvcr80.dll _unlock 000023ea 
F msvcr80.dll _unlock_file 0000e384 
F msvcr80.dll _utime32 00051144 
F msvcr80.dll _utime64 00051373 
F msvcr80.dll _vcprintf 0003e91b 
F msvcr80.dll _vcprintf_l 0003e031 
F msvcr80.dll _vcprintf_p 0003f86d 
F msvcr80.dll _vcprintf_p_l 0003e943 
F msvcr80.dll _vcprintf_s 0004018a 
F msvcr80.dll _vcprintf_s_l 0003f880 
F msvcr80.dll _vcwprintf 0004215d 
F msvcr80.dll _vcwprintf_l 0004185b 
F msvcr80.dll _vcwprintf_p 000430de 
F msvcr80.dll _vcwprintf_p_l 00042170 
F msvcr80.dll _vcwprintf_s 00043a84 
F msvcr80.dll _vcwprintf_s_l 00043162 
F msvcr80.dll _vfprintf_l 00011f3f 
F msvcr80.dll _vfprintf_p 00011fd1 
F msvcr80.dll _vfprintf_p_l 00011f7b 
F msvcr80.dll _vfprintf_s_l 00011f5d 
F msvcr80.dll _vfwprintf_l 0001139b 
F msvcr80.dll _vfwprintf_p 0001142d 
F msvcr80.dll _vfwprintf_p_l 000113d7 
F msvcr80.dll _vfwprintf_s_l 000113b9 
F msvcr80.dll _vprintf_l 000141ab 
F msvcr80.dll _vprintf_p 00014229 
F msvcr80.dll _vprintf_p_l 000141df 
F msvcr80.dll _vprintf_s_l 000141c5 
F msvcr80.dll _vscprintf 00048362 
F msvcr80.dll _vscprintf_l 0004837a 
F msvcr80.dll _vscprintf_p 00048394 
F msvcr80.dll _vscprintf_p_l 000483ac 
F msvcr80.dll _vscwprintf 0003df79 
F msvcr80.dll _vscwprintf_l 0003df91 
F msvcr80.dll _vscwprintf_p 0003dfab 
F msvcr80.dll _vscwprintf_p_l 0003dfc3 
F msvcr80.dll _vsnprintf 00048477 
F msvcr80.dll _vsnprintf_c 0004855c 
F msvcr80.dll _vsnprintf_c_l 00048583 
F msvcr80.dll _vsnprintf_l 000483c6 
F msvcr80.dll _vsnprintf_s 00048751 
F msvcr80.dll _vsnprintf_s_l 0004864c 
F msvcr80.dll _vsnwprintf 00048890 
F msvcr80.dll _vsnwprintf_l 000487be 
F msvcr80.dll _vsnwprintf_s 0000e6d2 
F msvcr80.dll _vsnwprintf_s_l 0000e5cb 
F msvcr80.dll _vsprintf_l 0004827a 
F msvcr80.dll _vsprintf_p 0004876f 
F msvcr80.dll _vsprintf_p_l 00048796 
F msvcr80.dll _vsprintf_s_l 000485ab 
F msvcr80.dll _vswprintf 0003df5d 
F msvcr80.dll _vswprintf_c 0000e4da 
F msvcr80.dll _vswprintf_c_l 0000e501 
F msvcr80.dll _vswprintf_l 0003dec6 
F msvcr80.dll _vswprintf_p 0000e6f0 
F msvcr80.dll _vswprintf_p_l 0000e717 
F msvcr80.dll _vswprintf_s_l 0000e529 
F msvcr80.dll _vwprintf_l 000488ab 
F msvcr80.dll _vwprintf_p 00048929 
F msvcr80.dll _vwprintf_p_l 000488df 
F msvcr80.dll _vwprintf_s_l 000488c5 
F msvcr80.dll _waccess 00025d44 
F msvcr80.dll _waccess_s 00025cbd 
F msvcr80.dll _wasctime 000526f4 
F msvcr80.dll _wasctime_s 0005252e 
F msvcr80.dll _wassert 00007f82 
F msvcr80.dll _wchdir 00025d58 
F msvcr80.dll _wchmod 00025e8a 
F msvcr80.dll _wcmdln 00093b20 
F msvcr80.dll _wcreat 00035624 
F msvcr80.dll _wcscoll_l 0004f532 
F msvcr80.dll _wcsdup 00014b4d 
F msvcr80.dll _wcserror 0003b7f4 
F msvcr80.dll _wcserror_s 0003b862 
F msvcr80.dll _wcsftime_l 0005290b 
F msvcr80.dll _wcsicmp 000146fb 
F msvcr80.dll _wcsicmp_l 000145ec 
F msvcr80.dll _wcsicoll 0004f705 
F msvcr80.dll _wcsicoll_l 0004f626 
F msvcr80.dll _wcslwr 0004f97a 
F msvcr80.dll _wcslwr_l 0004f963 
F msvcr80.dll _wcslwr_s 0004f950 
F msvcr80.dll _wcslwr_s_l 0004f91d 
F msvcr80.dll _wcsncoll 0004facd 
F msvcr80.dll _wcsncoll_l 0004f9e3 
F msvcr80.dll _wcsnicmp 00014548 
F msvcr80.dll _wcsnicmp_l 00014460 
F msvcr80.dll _wcsnicoll 00016f37 
F msvcr80.dll _wcsnicoll_l 00016df6 
F msvcr80.dll _wcsnset 0004fb29 
F msvcr80.dll _wcsnset_s 0004fb52 
F msvcr80.dll _wcsrev 0004fbd0 
F msvcr80.dll _wcsset 0004fc02 
F msvcr80.dll _wcsset_s 0004fc1b 
F msvcr80.dll _wcstod_l 00022cd6 
F msvcr80.dll _wcstoi64 0002309c 
F msvcr80.dll _wcstoi64_l 000230c5 
F msvcr80.dll _wcstol_l 0001ca14 
F msvcr80.dll _wcstombs_l 0001bb06 
F msvcr80.dll _wcstombs_s_l 0001bb22 
F msvcr80.dll _wcstoui64 000230e0 
F msvcr80.dll _wcstoui64_l 0002310a 
F msvcr80.dll _wcstoul_l 0001ca59 
F msvcr80.dll _wcsupr 0004fe55 
F msvcr80.dll _wcsupr_l 0004fe3e 
F msvcr80.dll _wcsupr_s 0004fe2b 
F msvcr80.dll _wcsupr_s_l 0004fdf8 
F msvcr80.dll _wcsxfrm_l 0004febe 
F msvcr80.dll _wctime32 000529cd 
F msvcr80.dll _wctime32_s 0005295e 
F msvcr80.dll _wctime64 00052a9d 
F msvcr80.dll _wctime64_s 00052a27 
F msvcr80.dll _wctomb_l 0001cbee 
F msvcr80.dll _wctomb_s_l 0001ca74 
F msvcr80.dll _wctype 000652f0 
F msvcr80.dll _wdupenv_s 0003bab7 
F msvcr80.dll _wenviron 000937e8 
F msvcr80.dll _wexecl 0002f450 
F msvcr80.dll _wexecle 0002f49b 
F msvcr80.dll _wexeclp 0002f4f4 
F msvcr80.dll _wexeclpe 0002f53d 
F msvcr80.dll _wexecv 0002f596 
F msvcr80.dll _wexecve 0002f65a 
F msvcr80.dll _wexecvp 0002f872 
F msvcr80.dll _wexecvpe 0002f885 
F msvcr80.dll _wfdopen 00048941 
F msvcr80.dll _wfindfirst32 00023ff1 
F msvcr80.dll _wfindfirst32i64 0002423e 
F msvcr80.dll _wfindfirst64 000244bc 
F msvcr80.dll _wfindfirst64i32 00003def 
F msvcr80.dll _wfindnext32 00024118 
F msvcr80.dll _wfindnext32i64 00024378 
F msvcr80.dll _wfindnext64 000245ff 
F msvcr80.dll _wfindnext64i32 00003f1f 
F msvcr80.dll _wfopen 00048b95 
F msvcr80.dll _wfopen_s 00048ba8 
F msvcr80.dll _wfreopen 00048cd2 
F msvcr80.dll _wfreopen_s 00048cf6 
F msvcr80.dll _wfsopen 00048acf 
F msvcr80.dll _wfullpath 00025ef7 
F msvcr80.dll _wgetcwd 00026142 
F msvcr80.dll _wgetdcwd 0002618b 
F msvcr80.dll _wgetdcwd_nolock 00026003 
F msvcr80.dll _wgetenv 0003b95b 
F msvcr80.dll _wgetenv_s 0003b9de 
F msvcr80.dll _winmajor 000937cc 
F msvcr80.dll _winminor 000937d0 
F msvcr80.dll _winver 000937c8 
F msvcr80.dll _wmakepath 0003bb9d 
F msvcr80.dll _wmakepath_s 0003bbbb 
F msvcr80.dll _wmkdir 000261d5 
F msvcr80.dll _wmktemp 00035756 
F msvcr80.dll _wmktemp_s 00035653 
F msvcr80.dll _wopen 00035dd9 
F msvcr80.dll _wperror 0003bcd6 
F msvcr80.dll _wpgmptr 000937f4 
F msvcr80.dll _wpopen 00048d14 
F msvcr80.dll _wprintf_l 00049307 
F msvcr80.dll _wprintf_p 0004935d 
F msvcr80.dll _wprintf_p_l 00049347 
F msvcr80.dll _wprintf_s_l 0004931d 
F msvcr80.dll _wputenv 0003c013 
F msvcr80.dll _wputenv_s 0003c058 
F msvcr80.dll _wremove 00026201 
F msvcr80.dll _wrename 00026230 
F msvcr80.dll _write 0001e335 
F msvcr80.dll _wrmdir 0002625e 
F msvcr80.dll _wscanf_l 00049410 
F msvcr80.dll _wscanf_s_l 00049444 
F msvcr80.dll _wsearchenv 0003c3e5 
F msvcr80.dll _wsearchenv_s 0003c0d1 
F msvcr80.dll _wsetlocale 0003c3ff 
F msvcr80.dll _wsopen 00035f5b 
F msvcr80.dll _wsopen_s 00035f8b 
F msvcr80.dll _wspawnl 0002faae 
F msvcr80.dll _wspawnle 0002fafd 
F msvcr80.dll _wspawnlp 0002fb59 
F msvcr80.dll _wspawnlpe 0002fba7 
F msvcr80.dll _wspawnv 0002fc03 
F msvcr80.dll _wspawnve 0002fccc 
F msvcr80.dll _wspawnvp 0002feea 
F msvcr80.dll _wspawnvpe 0002ff01 
F msvcr80.dll _wsplitpath 0003c7f4 
F msvcr80.dll _wsplitpath_s 0003c83e 
F msvcr80.dll _wstat32 00026347 
F msvcr80.dll _wstat32i64 00026671 
F msvcr80.dll _wstat64 00026a53 
F msvcr80.dll _wstat64i32 00026dc3 
F msvcr80.dll _wstrdate 00052bb8 
F msvcr80.dll _wstrdate_s 00052afe 
F msvcr80.dll _wstrtime 00052c80 
F msvcr80.dll _wstrtime_s 00052bd0 
F msvcr80.dll _wsystem 00030141 
F msvcr80.dll _wtempnam 0004945f 
F msvcr80.dll _wtmpnam 00049995 
F msvcr80.dll _wtmpnam_s 00049951 
F msvcr80.dll _wtof 000231af 
F msvcr80.dll _wtof_l 00023125 
F msvcr80.dll _wtoi 000231e3 
F msvcr80.dll _wtoi64 000231ed 
F msvcr80.dll _wtoi64_l 000231fe 
F msvcr80.dll _wtoi_l 000231e8 
F msvcr80.dll _wtol 000231bd 
F msvcr80.dll _wtol_l 000231ce 
F msvcr80.dll _wunlink 0002622b 
F msvcr80.dll _wutime32 00052c98 
F msvcr80.dll _wutime64 00052d17 
F msvcr80.dll _y0 0005ab06 
F msvcr80.dll _y1 0005ac2e 
F msvcr80.dll _yn 0005ad60 
F msvcr80.dll abort 0000acef 
F msvcr80.dll abs 0003a346 
F msvcr80.dll acos 000538c0 
F msvcr80.dll asctime 00052f84 
M 376 0cc7c000 "dumprep.exe" 01000000 00005000 82138020 
M 376 0cc7c000 "ntdll.dll" 7c920000 00094000 82138020 
M 376 0cc7c000 "kernel32.dll" 7c800000 0011c000 82138020 
F msvcr80.dll asctime_s 00052d96 
F msvcr80.dll asin 00053a10 
F msvcr80.dll atan 00053b60 
F msvcr80.dll atan2 00053c80 
F msvcr80.dll atexit 00008aca 
F msvcr80.dll atof 00021cb9 
F msvcr80.dll atoi 0001c433 
F msvcr80.dll atol 0001c40d 
F msvcr80.dll bsearch 0003ca6c 
F msvcr80.dll bsearch_s 0003cb2c 
F msvcr80.dll btowc 000233b3 
F msvcr80.dll calloc 00004f5a 
F msvcr80.dll ceil 0005ae50 
F msvcr80.dll clearerr 00049a66 
F msvcr80.dll clearerr_s 000499ba 
F msvcr80.dll clock 00052fcb 
F msvcr80.dll cos 00053ca0 
F msvcr80.dll cosh 00053dda 
F msvcr80.dll div 0003cbf4 
F msvcr80.dll exit 00001a3e 
F msvcr80.dll exp 00053e00 
F msvcr80.dll fabs 0005af6d 
F msvcr80.dll fclose 00012060 
F msvcr80.dll feof 00049a6b 
F msvcr80.dll ferror 00049a9a 
F msvcr80.dll fflush 0000e8bd 
F msvcr80.dll fgetc 00049ac9 
F msvcr80.dll fgetpos 00049c00 
F msvcr80.dll fgets 00049c6b 
F msvcr80.dll fgetwc 0004575d 
F msvcr80.dll fgetws 00049df2 
F msvcr80.dll floor 0005b030 
F msvcr80.dll fmod 00053e90 
F msvcr80.dll fopen 00046062 
F msvcr80.dll fopen_s 00046075 
F msvcr80.dll fprintf 0000eb23 
F msvcr80.dll fprintf_s 0000eca6 
F msvcr80.dll fputc 00049eb1 
F msvcr80.dll fputs 00049ff0 
F msvcr80.dll fputwc 000122f8 
F msvcr80.dll fputws 0004a132 
F msvcr80.dll fread 00045bda 
F msvcr80.dll free 00004b6e 
F msvcr80.dll freopen 0004a2b3 
F msvcr80.dll freopen_s 0004a2d7 
F msvcr80.dll frexp 0005b151 
F msvcr80.dll fscanf 00045d32 
F msvcr80.dll fscanf_s 00045d6e 
F msvcr80.dll fseek 00045e31 
F msvcr80.dll fsetpos 0004a2f5 
F msvcr80.dll ftell 0004625d 
F msvcr80.dll fwprintf 0000e919 
F msvcr80.dll fwprintf_s 0000e9e1 
F msvcr80.dll fwrite 000465e3 
F msvcr80.dll fwscanf 000466f3 
F msvcr80.dll fwscanf_s 0004672f 
F msvcr80.dll getc 00049ac9 
F msvcr80.dll getchar 000455b1 
F msvcr80.dll getenv 0001f50d 
F msvcr80.dll getenv_s 0001f590 
F msvcr80.dll gets 0004a59e 
F msvcr80.dll gets_s 0004a58b 
F msvcr80.dll getwc 000457d0 
F msvcr80.dll getwchar 000457e2 
F msvcr80.dll is_wctype 0001d8fd 
F msvcr80.dll isalnum 0001bf9b 
F msvcr80.dll isalpha 0001bc45 
F msvcr80.dll iscntrl 0001c113 
F msvcr80.dll isdigit 0001bdaf 
F msvcr80.dll isgraph 0001c099 
F msvcr80.dll isleadbyte 0001c5c3 
F msvcr80.dll islower 0001bd37 
F msvcr80.dll isprint 0001c01a 
F msvcr80.dll ispunct 0001bf1e 
F msvcr80.dll isspace 0001bea6 
F msvcr80.dll isupper 0001bcbf 
F msvcr80.dll iswalnum 0001c6da 
F msvcr80.dll iswalpha 0001c5e7 
F msvcr80.dll iswascii 0001c75a 
F msvcr80.dll iswcntrl 0001c74c 
F msvcr80.dll iswctype 0001d88f 
F msvcr80.dll iswdigit 0001c64d 
F msvcr80.dll iswgraph 0001c728 
F msvcr80.dll iswlower 0001c62c 
F msvcr80.dll iswprint 0001c701 
F msvcr80.dll iswpunct 0001c6b6 
F msvcr80.dll iswspace 0001c695 
F msvcr80.dll iswupper 0001c60b 
F msvcr80.dll iswxdigit 0001c671 
F msvcr80.dll isxdigit 0001be2c 
F msvcr80.dll labs 0003a346 
F msvcr80.dll ldexp 0005b22b 
F msvcr80.dll ldiv 0003cbf4 
F msvcr80.dll localeconv 0000d544 
F msvcr80.dll log 00053ed0 
F msvcr80.dll log10 00054020 
F msvcr80.dll longjmp 0003cc10 
F msvcr80.dll malloc 00004d0b 
F msvcr80.dll mblen 00022492 
F msvcr80.dll mbrlen 00023404 
F msvcr80.dll mbrtowc 00023437 
F msvcr80.dll mbsrtowcs 0002356d 
F msvcr80.dll mbsrtowcs_s 00023572 
F msvcr80.dll mbstowcs 00022642 
F msvcr80.dll mbstowcs_s 00022760 
F msvcr80.dll mbtowc 0001c576 
F msvcr80.dll memchr 00050020 
F msvcr80.dll memcmp 00015776 
F msvcr80.dll memcpy 00014e40 
F msvcr80.dll memcpy_s 000500cd 
F msvcr80.dll memmove 000151b0 
F msvcr80.dll memmove_s 00050148 
